slug	url	http	bytes	sha256_16	fetched_utc
N-sonnet-5-whats-new	https://platform.claude.com/docs/en/models/sonnet-5/whats-new-sonnet-5	200	13195	02f0df53f8780f93	2026-09-05T01:57:10Z
N-sonnet-5-migration	https://platform.claude.com/docs/en/models/sonnet-5/migration-guide	200	38352	ffbb0da772db9854	2026-09-05T01:57:11Z
N-sonnet-5-overview	https://platform.claude.com/docs/en/models/sonnet-5/overview	200	13348	6ca17e3121ec558c	2026-09-05T01:57:12Z
N-sysprompt-sonnet-5	https://platform.claude.com/docs/en/release-notes/system-prompts/claude-sonnet-5	404	9	0019dfc4b32d63c1	2026-09-05T01:57:12Z
N-sonnet-4-6-overview	https://platform.claude.com/docs/en/models/sonnet-4-6/overview	200	12638	4e2dc001ced090a2	2026-09-05T01:57:13Z
N-sonnet-4-6-whats-new	https://platform.claude.com/docs/en/models/sonnet-4-6/whats-new-sonnet-4-6	404	9	0019dfc4b32d63c1	2026-09-05T01:57:14Z
N-prompting-sonnet-4-6	https://platform.claude.com/docs/en/build-with-claude/prompt-engineering/prompting-claude-sonnet-4-6	404	9	0019dfc4b32d63c1	2026-09-05T01:57:15Z
N-sysprompt-sonnet-4-6	https://platform.claude.com/docs/en/release-notes/system-prompts/claude-sonnet-4-6	200	19495	3f9201bc256a1517	2026-09-05T01:57:15Z
N-sonnet-4-5-overview	https://platform.claude.com/docs/en/models/sonnet-4-5/overview	200	12262	5dbd3ea4fe536c31	2026-09-05T01:57:16Z
N-sonnet-4-5-whats-new	https://platform.claude.com/docs/en/models/sonnet-4-5/whats-new-sonnet-4-5	404	9	0019dfc4b32d63c1	2026-09-05T01:57:17Z
N-sysprompt-sonnet-4-5	https://platform.claude.com/docs/en/release-notes/system-prompts/claude-sonnet-4-5	200	42912	b9929ef558f4d606	2026-09-05T01:57:18Z
N-haiku-4-5-overview	https://platform.claude.com/docs/en/models/haiku-4-5/overview	200	13597	c62bf6c1ac70a762	2026-09-05T01:57:18Z
N-haiku-4-5-whats-new	https://platform.claude.com/docs/en/models/haiku-4-5/whats-new-haiku-4-5	404	9	0019dfc4b32d63c1	2026-09-05T01:57:19Z
N-sysprompt-haiku-4-5	https://platform.claude.com/docs/en/release-notes/system-prompts/claude-haiku-4-5	200	42876	3533d2715cb9fc37	2026-09-05T01:57:20Z
N-opus-4-8-overview	https://platform.claude.com/docs/en/models/opus-4-8/overview	200	12068	c303746fd963950a	2026-09-05T01:57:20Z
N-opus-4-8-whats-new	https://platform.claude.com/docs/en/models/opus-4-8/whats-new-opus-4-8	404	9	0019dfc4b32d63c1	2026-09-05T01:57:21Z
N-opus-4-8-migration	https://platform.claude.com/docs/en/models/opus-4-8/migration-guide	404	9	0019dfc4b32d63c1	2026-09-05T01:57:22Z
N-sysprompt-opus-4-8	https://platform.claude.com/docs/en/release-notes/system-prompts/claude-opus-4-8	200	23051	ea6f6852b81f5cc7	2026-09-05T01:57:23Z
N-opus-4-7-overview	https://platform.claude.com/docs/en/models/opus-4-7/overview	200	11882	d7ca2e12d25c77f3	2026-09-05T01:57:24Z
N-opus-4-7-whats-new	https://platform.claude.com/docs/en/models/opus-4-7/whats-new-opus-4-7	404	9	0019dfc4b32d63c1	2026-09-05T01:57:24Z
N-opus-4-7-migration	https://platform.claude.com/docs/en/models/opus-4-7/migration-guide	404	9	0019dfc4b32d63c1	2026-09-05T01:57:25Z
N-prompting-opus-4-7	https://platform.claude.com/docs/en/build-with-claude/prompt-engineering/prompting-claude-opus-4-7	404	9	0019dfc4b32d63c1	2026-09-05T01:57:26Z
N-sysprompt-opus-4-7	https://platform.claude.com/docs/en/release-notes/system-prompts/claude-opus-4-7	200	24493	2d4bec02133941bb	2026-09-05T01:57:27Z
N-opus-4-6-overview	https://platform.claude.com/docs/en/models/opus-4-6/overview	200	12572	e8a2dd687bf1e63c	2026-09-05T01:57:30Z
N-opus-4-6-whats-new	https://platform.claude.com/docs/en/models/opus-4-6/whats-new-opus-4-6	404	9	0019dfc4b32d63c1	2026-09-05T01:57:32Z
N-opus-4-6-migration	https://platform.claude.com/docs/en/models/opus-4-6/migration-guide	404	9	0019dfc4b32d63c1	2026-09-05T01:57:34Z
N-prompting-opus-4-6	https://platform.claude.com/docs/en/build-with-claude/prompt-engineering/prompting-claude-opus-4-6	404	9	0019dfc4b32d63c1	2026-09-05T01:57:36Z
N-sysprompt-opus-4-6	https://platform.claude.com/docs/en/release-notes/system-prompts/claude-opus-4-6	200	19116	1899b8590bfa8a1e	2026-09-05T01:57:38Z
N-opus-4-5-overview	https://platform.claude.com/docs/en/models/opus-4-5/overview	200	12199	30445cd395e9f3ae	2026-09-05T01:57:41Z
N-opus-4-5-whats-new	https://platform.claude.com/docs/en/models/opus-4-5/whats-new-opus-4-5	404	9	0019dfc4b32d63c1	2026-09-05T01:57:42Z
N-sysprompt-opus-4-5	https://platform.claude.com/docs/en/release-notes/system-prompts/claude-opus-4-5	200	32564	e7e06e8775bf7d03	2026-09-05T01:57:44Z
N-migration-guide-general	https://platform.claude.com/docs/en/about-claude/models/migration-guide	200	1150	fb012ba97c3db3ad	2026-09-05T01:57:46Z
N-choosing-a-model	https://platform.claude.com/docs/en/about-claude/models/choosing-a-model	200	8095	cbbb3b0bc3cd06fb	2026-09-05T01:57:48Z
N-model-ids-and-versions	https://platform.claude.com/docs/en/about-claude/models/model-ids-and-versions	200	4032	2a2353199b7d09aa	2026-09-05T01:57:49Z
N-thinking-steering-and-cost	https://platform.claude.com/docs/en/build-with-claude/thinking-steering-and-cost	200	41336	4c9186b0826656ab	2026-09-05T01:57:51Z
N-sysprompt-fable-5	https://platform.claude.com/docs/en/release-notes/system-prompts/claude-fable-5	200	22414	15ff3cca481f9050	2026-09-05T01:57:53Z
N-opus-5-overview	https://platform.claude.com/docs/en/models/opus-5/overview	200	12624	00f5422160fe2e84	2026-09-05T01:57:56Z
N-fable-5-1-overview	https://platform.claude.com/docs/en/models/fable-5-1/overview	200	14914	f773571dce56353d	2026-09-05T01:57:58Z
S20-cc-hooks	https://code.claude.com/docs/en/hooks	200	317647	1c1b1218cb523825	2026-09-05T01:58:01Z
S21-cc-hooks-guide	https://code.claude.com/docs/en/hooks-guide	200	81859	72a1eed90101d210	2026-09-05T01:58:03Z
S22-cc-statusline	https://code.claude.com/docs/en/statusline	200	79133	20379f8f1b7922c3	2026-09-05T01:58:05Z
S23-cc-plugins	https://code.claude.com/docs/en/plugins	200	28900	d64f8d772d4cf378	2026-09-05T01:58:08Z
S24-cc-plugins-reference	https://code.claude.com/docs/en/plugins-reference	200	117596	64a15a9564ccd978	2026-09-05T01:58:11Z
S25-cc-plugin-marketplaces	https://code.claude.com/docs/en/plugin-marketplaces	200	116750	ed1d6ff6bd440957	2026-09-05T01:58:13Z
S26-cc-discover-plugins	https://code.claude.com/docs/en/discover-plugins	200	33054	c7ea4bd3d8cea143	2026-09-05T01:58:16Z
S27-cc-settings	https://code.claude.com/docs/en/settings	200	59255	307cc8f152bc67fb	2026-09-05T01:58:18Z
S28-cc-model-config	https://code.claude.com/docs/en/model-config	200	105476	35601cf9823d398e	2026-09-05T01:58:21Z
S29-cc-cli-reference	https://code.claude.com/docs/en/cli-reference	200	108577	a5d0107ecdc1b96e	2026-09-05T01:58:23Z
S30-cc-commands	https://code.claude.com/docs/en/commands	200	162984	76db0c765dfb242a	2026-09-05T01:58:24Z
S31-cc-memory	https://code.claude.com/docs/en/memory	200	37361	3651ab935d3ba8a0	2026-09-05T01:58:27Z
S32-cc-skills	https://code.claude.com/docs/en/skills	200	99094	b7a030ad40a8e613	2026-09-05T01:58:30Z
S33-cc-headless	https://code.claude.com/docs/en/headless	200	32728	6c8a31d658eb31c9	2026-09-05T01:58:31Z
S34-cc-claude-directory	https://code.claude.com/docs/en/claude-directory	200	98955	af1b349852f70db8	2026-09-05T01:58:35Z
N-cc-costs	https://code.claude.com/docs/en/costs	200	41611	644ff6b0d4a75844	2026-09-05T01:58:37Z
N-cc-env-vars	https://code.claude.com/docs/en/env-vars	200	480621	bd52ea171dd23ae9	2026-09-05T01:58:40Z
N-cc-settings-reference	https://code.claude.com/docs/en/settings-reference	200	421997	c3a0e2339cc7dcc6	2026-09-05T01:58:42Z
N-haiku-4-5-migration	https://platform.claude.com/docs/en/models/haiku-4-5/migration-guide	200	5021	8ee77d41d38be9c1	2026-09-05T01:59:42Z
